name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Macaroni Or Noodles With Cheese Microwaveable Unprepared,Prepared Meals,6.56,11.48,70.75,61.0
Spanish Rice Mix Dry Mix Prepared (With Canola/vegetable Oil Blend Or Diced Tomatoes And Margarine),Prepared Meals,2.38,3.27,22.74,198.0
Rice Mix Cheese Flavor Dry Mix Unprepared,Prepared Meals,3.51,8.77,73.88,57.0
Dumpling Potato- Or Cheese-Filled Frozen,Prepared Meals,6.14,5.26,29.64,114.0
Turnover Chicken- Or Turkey- And Vegetable-Filled Reduced Fat Frozen,Prepared Meals,5.51,7.87,21.74,127.0
Sausage Egg And Cheese Breakfast Biscuit,Prepared Meals,22.13,9.54,21.57,126.0
Hungry Man Salisbury Steak With Gravy Frozen Unprepared,Prepared Meals,8.53,7.96,6.96,64.0
Banquet Salisbury Steak With Gravy Family Size Frozen Unprepared,Prepared Meals,11.1,6.89,6.96,72.0
Jimmy Dean Sausage Egg And Cheese Breakfast Biscuit Frozen Unprepared,Prepared Meals,22.9,9.29,21.07,128.0
Whale Beluga Meat Dried (Alaska Native),American Indian,5.34,69.86,0.0,45.0
Salmon Red (Sockeye) Filets With Skin Smoked (Alaska Native),American Indian,11.43,60.62,0.0,108.0
Lambsquarters Steamed (Northern Plains Indians),American Indian,0.16,4.06,7.47,65.0
Prickly Pears Raw (Northern Plains Indians),American Indian,0.11,0.12,10.17,19.0
Prickly Pears Broiled (Northern Plains Indians),American Indian,0.31,0.39,21.57,7.5
Prairie Turnips Raw (Northern Plains Indians),American Indian,0.36,2.62,35.67,12.6
Stinging Nettles Blanched (Northern Plains Indians),American Indian,0.11,2.71,7.49,89.0
Plums Wild (Northern Plains Indians),American Indian,0.17,0.43,21.95,161.0
Caribou Hind Quarter Meat Cooked (Alaska Native),American Indian,4.82,28.81,0.0,66.0
Wocas Dried Seeds Oregon Yellow Pond Lily (Klamath),American Indian,1.07,7.9,80.02,28.4
Hazelnuts Beaked (Northern Plains Indians),American Indian,52.99,14.89,22.98,0.4
Tortilla Blue Corn Sakwavikaviki (Hopi),American Indian,1.4,7.83,58.12,57.0
Applebees 9 Oz House Sirloin Steak,Restaurant Foods,9.08,26.85,0.0,157.0
TGI Fridays Fridays Shrimp Breaded,Restaurant Foods,19.02,11.87,20.87,175.0
TGI Fridays French Fries,Restaurant Foods,14.82,3.74,36.9,184.0
TGI Fridays Fried Mozzarella,Restaurant Foods,18.76,15.82,25.33,35.0
TGI Fridays Macaroni & Cheese From Kids Menu,Restaurant Foods,3.45,5.03,17.4,144.0
Restaurant Family Style French Fries,Restaurant Foods,14.04,3.49,37.2,170.0
Restaurant Family Style Chicken Fingers From Kids Menu,Restaurant Foods,17.45,18.68,18.77,114.0
Restaurant Family Style Shrimp Breaded And Fried,Restaurant Foods,18.67,12.67,22.29,169.0
Restaurant Family Style Macaroni & Cheese From Kids Menu,Restaurant Foods,6.06,5.42,18.8,136.0
Fried Onion Rings,Restaurant Foods,19.61,4.58,40.17,350.0
Applebees Chicken Tenders Platter,Restaurant Foods,16.24,19.62,17.98,209.0
Cracker Barrel Chicken Tenderloin Platter Fried,Restaurant Foods,15.48,18.06,20.29,175.0
Cracker Barrel Coleslaw,Restaurant Foods,13.22,0.89,13.01,167.0
Dennys Onion Rings,Restaurant Foods,22.23,5.29,41.05,166.0
Dennys Spaghetti And Meatballs,Restaurant Foods,8.52,7.84,15.51,565.0
Restaurant Family Style Fish Fillet Battered Or Breaded Fried,Restaurant Foods,10.79,13.49,16.89,226.0
Restaurant Family Style Chicken Tenders,Restaurant Foods,16.63,18.88,19.29,201.0
